"","gene","Parameter1","Parameter2","rho","CI","CI_low","CI_high","S","p","Method","n_Obs"
"177","Stat5b","logFC","time_index",-0.366666666666667,0.95,-0.836190895458513,0.413014534946927,164,0.331739801433015,"Spearman",9
"178","Stat6","logFC","time_index",0.25,0.95,-0.514178875427661,0.792909540830074,90,0.516489552301226,"Spearman",9
"179","Tal1","logFC","time_index",0.05,0.95,-0.649113470966588,0.703324221431592,114,0.89835280435063,"Spearman",9
"180","Tbp","logFC","time_index",-0.716666666666667,0.95,-0.938410330349989,-0.0767994444926587,206,0.0298180356958453,"Spearman",9
"181","Tcf12","logFC","time_index",0.5,0.95,-0.267807758949841,0.879399707121547,60,0.170470660787054,"Spearman",9
"182","Tcf3","logFC","time_index",-0.266666666666667,0.95,-0.799447231240067,0.500921072458279,152,0.487922274838701,"Spearman",9
"183","Tcf4","logFC","time_index",0.416666666666667,0.95,-0.362842287387987,0.853107320580695,70,0.264586046747496,"Spearman",9
"184","Tcf7","logFC","time_index",0.5,0.95,-0.267807758949841,0.879399707121547,60,0.170470660787054,"Spearman",9
"185","Tcf7l2","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"186","Tead1","logFC","time_index",0.483333333333333,0.95,-0.288090115691403,0.874320076779803,62,0.187469855215542,"Spearman",9
"187","Tead2","logFC","time_index",-0.416666666666667,0.95,-0.853107320580695,0.362842287387987,170,0.264586046747496,"Spearman",9
"188","Tead4","logFC","time_index",0.25,0.95,-0.514178875427661,0.792909540830074,90,0.516489552301226,"Spearman",9
"189","Tfap2a","logFC","time_index",0.0333333333333333,0.95,-0.658670203817634,0.694787677227017,116,0.932156735540504,"Spearman",9
"190","Tfap2c","logFC","time_index",-0.383333333333333,0.95,-0.841930750121891,0.396800267551378,166,0.308495272380372,"Spearman",9
"191","Tfap4","logFC","time_index",-0.233333333333333,0.95,-0.786244420519532,0.527081281435668,148,0.545698778218273,"Spearman",9
"192","Tp63","logFC","time_index",0.516666666666667,0.95,-0.246821256648814,0.884394399792172,58,0.154390120986225,"Spearman",9
"193","Twist1","logFC","time_index",0.266666666666667,0.95,-0.500921072458279,0.799447231240067,88,0.487922274838701,"Spearman",9
"194","Usf1","logFC","time_index",0.533333333333333,0.95,-0.2250932921372,0.889306267521555,56,0.139226867543978,"Spearman",9
"195","Usf2","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"196","Vdr","logFC","time_index",0.316666666666667,0.95,-0.458862111967596,0.818331249069249,82,0.406397014486386,"Spearman",9
"197","Wt1","logFC","time_index",-0.25,0.95,-0.792909540830074,0.514178875427661,150,0.516489552301226,"Spearman",9
"198","Xbp1","logFC","time_index",0,0.95,-0.677136548210234,0.677136548210234,120,1,"Spearman",9
"199","Yy1","logFC","time_index",0.35,0.95,-0.428749150036578,0.830346306968351,78,0.355819572501789,"Spearman",9
"200","Zbtb11","logFC","time_index",-0.483333333333333,0.95,-0.874320076779803,0.288090115691403,178,0.187469855215542,"Spearman",9
"201","Zfp143","logFC","time_index",-0.0166666666666667,0.95,-0.686060603066509,0.668008767392338,122,0.966054803994686,"Spearman",9
"202","Zfp217","logFC","time_index",0.566666666666667,0.95,-0.179250042882494,0.898889634445632,52,0.111632987611491,"Spearman",9
"203","Zfp384","logFC","time_index",-0.316666666666667,0.95,-0.818331249069249,0.458862111967596,158,0.406397014486386,"Spearman",9
"204","Zfp592","logFC","time_index",0.0333333333333333,0.95,-0.658670203817634,0.694787677227017,116,0.932156735540504,"Spearman",9
"205","Zfx","logFC","time_index",-0.233333333333333,0.95,-0.786244420519532,0.527081281435668,148,0.545698778218273,"Spearman",9
"206","Zkscan1","logFC","time_index",0.75,0.95,0.148052034474378,0.946469652898276,30,0.0199421261319925,"Spearman",9
"207","Znf740","logFC","time_index",0.15,0.95,-0.586731109992407,0.750870290691378,102,0.700094230969142,"Spearman",9
